spp_gp,across_stage_dependent_habitats_condition,adult_body_mass_body_size,adult_mobility,age_to_1st_reproduction_generation_time,air_sea_interface,are_there_sub_populations_reproduct,biomass_removal_sensitivity_trait,biomineral,calcium_carbonate_structure_location,calcium_carbonate_structure_stages,can_the_sex_ratio_be_altered_by_temperature,communication_requirement_sound,dependent_interspecific_interactions,depth_min_max,dissolved_oxygen,eoo_range,extreme_diet_specialization,extreme_pressure_wave_sensitive_structures,fecundity,feeding_larva_post_hatching_metamorphosis,flight,global_population_size,habitat_forming,lifetime_reproductive_opportunities,max_age,navigation_requirements_light,navigation_requirements_magnetic,navigation_requirements_sound,number_of_sites_breeding,number_of_sites_incl_terrestrial_wetlands,parental_investment,ph,photosynthetic,planktonic_larval_duration_pld_exposure,post_birth_hatching_parental_dependence,reproductive_strategy,respiration_structures,salinity,sensitivity_to_wave_energy_physical_forcing,sst_rise_sensitivity_trait,sub_pop_dependence_breeding,sub_pop_dependence_foraging,terrestrial_and_marine_life_stages,thermal_sensitivity_to_heat_spikes_heat_waves,thermal_sensitivity_to_ocean_warming_max_temps_tolerated,thermal_tolerance_range,within_stage_dependent_habitats_condition,zone
hexanchus griseus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,100-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
histriophoca fasciata,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icosteus aenigmaticus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
istiompax indica,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
istiophorus platypterus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kajikia audax,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kogia sima,NA,50mm-999mm,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lagenorhynchus obliquidens,NA,50mm-999mm,NA,10-20yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lampris guttatus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lepidocybium flavobrunneum,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
luvarus imperialis,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
makaira nigricans,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
masturus lanceolatus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mesoplodon carlhubbsi,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mesoplodon peruvianus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mirounga angustirostris,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mobula tarapacana,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,1-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mola mola,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mycteroperca jordani,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mycteroperca xenarcha,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
myliobatis californica,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
negaprion brevirostris,NA,50mm-999mm,NA,10-20yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nematistius pectoralis,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
notorynchus cepedianus,NA,50mm-999mm,NA,10-20yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,50-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
odontaspis ferox,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oncorhynchus tshawytscha,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,1000-10000 - >10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ophiodon elongatus,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phoca vitulina,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phocoena phocoena,NA,50mm-999mm,NA,5-10yrs - 1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
phocoenoides dalli,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pusa hispida,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
regalecus glesne,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ruvettus pretiosus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seriola dumerili,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seriola lalandi,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
seriola rivoliana,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
somniosus pacificus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,100-1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sphyraena barracuda,NA,50mm-999mm,NA,1-5yrs - 5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sphyrna lewini,NA,50mm-999mm,NA,10-20yrs - 1-5yrs - 5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,20-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sphyrna mokarran,NA,50mm-999mm,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,20-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sphyrna zygaena,NA,50mm-999mm,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,20-50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stenella attenuata,NA,50mm-999mm,NA,5-10yrs - 10-20yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stenella coeruleoalba,NA,50mm-999mm,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stenella longirostris,NA,50mm-999mm,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stereolepis gigas,NA,50mm-999mm,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
taeniurops meyeni,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,5-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
tetrapturus angustirostris,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thunnus alalunga,NA,50mm-999mm,NA,5-10yrs - 1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thunnus albacares,NA,50mm-999mm,NA,1-5yrs - 5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thunnus obesus,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
thunnus orientalis,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
xiphias gladius,NA,50mm-999mm,NA,1-5yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,>10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
zalophus californianus,NA,50mm-999mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
delphinus capensis,NA,NA,NA,5-10yrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mesoplodon perrini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
