species;spp_list_gissi;Class;Order;K;Lm;QB;tri_trophic_level;tri_depth;tri_thermal_tolerance;tri_age_at_maturity;tri_parental_investment;tri_body_shape;tri_water_column;SwimMode;;;;
Carcharhinus_plumbeus;carcharhinus plumbeus;Elasmobranchii;Carcharhiniformes;0.039000001;117.2087;1.8;4.27;500;27;25.8893;bearers_internal_live_bearers;fusiform_normal;benthopelagic;carangiform;;;;
Carcharodon_carcharias;carcharodon carcharias;Elasmobranchii;Lamniformes;0.057999998;324.2783;1;4.53;1200;18.1;19.69945;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;thunniform;;;;
Dasyatis_brevis;dasyatis brevis;Elasmobranchii;Myliobatiformes;0.114979999;93.1;2.1;3.84;70;24.2;8.290272333;bearers_internal_live_bearers;other_flattened;demersal;rajiform;;;;
Galeocerdo_cuvier;galeocerdo cuvier;Elasmobranchii;Carcharhiniformes;0.184;176.47;2;4.56;800;26.4;6.086011;bearers_internal_live_bearers;fusiform_normal_angular;benthopelagic;carangiform;;;;
Ginglymostoma_cirratum;ginglymostoma cirratum;Elasmobranchii;Orectolobiformes;0.08192;194.4;1.3;4.15;130;25.5;13.42224725;bearers_internal_live_bearers;elongated;reef_associated;carangiform;;;;
Hexanchus_griseus;hexanchus griseus;Elasmobranchii;Hexanchiformes;0.075101667;215;1.2;4.48;2500;8.1;15.71664225;bearers_internal_live_bearers;elongated;bathydemersal;subcarangiform;;;;
Isurus_oxyrinchus;isurus oxyrinchus;Elasmobranchii;Lamniformes;0.075999998;150.512;9.640000343;4.52;750;17.4;13.73363;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;thunniform;;;;
Lamna_ditropis;lamna ditropis;Elasmobranchii;Lamniformes;0.230000004;89.77483;1.1;4.5;650;4.7;5.583273;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;thunniform;;;;
Megachasma_pelagios;megachasma pelagios;Elasmobranchii;Lamniformes;0.08581;241.2;0.7;3.38;600;17.8;13.42819418;bearers_internal_live_bearers;elongated;pelagic_oceanic;subcarangiform;;;;
Mobula_birostris;mobula birostris;Elasmobranchii;Myliobatiformes;0.08;377;0;3.46;120;27.6;14.64417;bearers_internal_live_bearers;other_flattened;reef_associated;rajiform;;;;
Mobula_tarapacana;mobula tarapacana;Elasmobranchii;Myliobatiformes;0.230000004;153;2.2;3.79;1896;27.1;4.562583;bearers_internal_live_bearers;other;reef_associated;rajiform;;;;
Myliobatis_californica;myliobatis californica;Elasmobranchii;Myliobatiformes;0.0995;120.1994;1.8;3.24;108;20.6;10.21471;bearers_internal_live_bearers;other_flattened;demersal;rajiform;;;;
Negaprion_brevirostris;negaprion brevirostris;Elasmobranchii;Carcharhiniformes;0.04;157.9;0;4.27;92;25.6;26.72224;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Notorynchus_cepedianus;notorynchus cepedianus;Elasmobranchii;Hexanchiformes;0.25;131.6582;1.6;4.68;570;14.2;4.808069;bearers_internal_live_bearers;elongated;demersal;subcarangiform;;;;
Odontaspis_ferox;odontaspis ferox;Elasmobranchii;Lamniformes;0.090000004;202.4;0.8;4.16;2000;17.3;12.02112;bearers_internal_live_bearers;fusiform_normal;benthopelagic;subcarangiform;;;;
Prionace_glauca;prionace glauca;Elasmobranchii;Carcharhiniformes;0.100000001;168.6901;0.8;4.35;1000;14.8;11.68544;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;carangiform;;;;
Pteroplatytrygon_violacea;pteroplatytrygon violacea;Elasmobranchii;Myliobatiformes;0.180000007;59.67374;2.4;4.36;381;24.8;5.371305;bearers_internal_live_bearers;other;pelagic_oceanic;rajiform;;;;
Rhincodon_typus;rhincodon typus;Elasmobranchii;Orectolobiformes;0.050000001;558.6284;1;3.55;1928;27.3;24.33137;bearers_internal_live_bearers;elongated_other;pelagic_oceanic;subcarangiform;;;;
Somniosus_pacificus;somniosus pacificus;Elasmobranchii;Squaliformes;0.03235;198.4;0.7;4.36;2205;2.3;37.8519258;bearers_internal_live_bearers;elongated;benthopelagic;subcarangiform;;;;
Sphyrna_lewini;sphyrna lewini;Elasmobranchii;Carcharhiniformes;0.072999999;152.1745;2.7;4.08;1000;27.2;14.31522;bearers_internal_live_bearers;elongated;pelagic_oceanic;carangiform;;;;
Sphyrna_mokarran;sphyrna mokarran;Elasmobranchii;Carcharhiniformes;0.06;264.8;0;4.32;300;27.2;18.80313;bearers_internal_live_bearers;elongated;pelagic_oceanic;carangiform;;;;
Sphyrna_zygaena;sphyrna zygaena;Elasmobranchii;Carcharhiniformes;0.07;222.1;0;4.94;200;26.5;15.8175;bearers_internal_live_bearers;elongated;pelagic_oceanic;carangiform;;;;
Taeniurops_meyeni;taeniurops meyeni;Elasmobranchii;Myliobatiformes;0.1151964;153.8;2.2;4.2;500;28;8.451600633;bearers_internal_live_bearers;other;reef_associated;rajiform;;;;
Aetobatus_narinari;aetobatus narinari;Elasmobranchii;Myliobatiformes;0.11;153.8;0;4.17;80;27.5;9.618041;bearers_internal_live_bearers;other_flattened;benthopelagic;rajiform;;;;
Aetobatus_ocellatus;aetobatus ocellatus;Elasmobranchii;Myliobatiformes;0.1695;77.9;3.5;3.62;100;28;5.403790069;bearers_internal_live_bearers;other_flattened;benthopelagic;rajiform;;;;
Alopias_pelagicus;alopias pelagicus;Elasmobranchii;Lamniformes;0.119999997;151.7591;2.8;4.5;300;26.7;8.719707;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;subcarangiform;;;;
Alopias_superciliosus;alopias superciliosus;Elasmobranchii;Lamniformes;0.072999999;128.2753;2.8;4.46;730;27.1;14.01925;bearers_internal_live_bearers;fusiform_normal_circular;pelagic_oceanic;subcarangiform;;;;
Alopias_vulpinus;alopias vulpinus;Elasmobranchii;Lamniformes;0.123999998;207.341;1.6;4.5;650;23.3;9.853462;bearers_internal_live_bearers;fusiform_normal_circular;pelagic_oceanic;subcarangiform;;;;
Carcharhinus_albimarginatus;carcharhinus albimarginatus;Elasmobranchii;Carcharhiniformes;0.100000001;141.4;1.4;4.21;800;27.1;10.36405;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_altimus;carcharhinus altimus;Elasmobranchii;Carcharhiniformes;0.100000001;141.4;1.4;4.53;810;19.9;10.36405;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_brachyurus;carcharhinus brachyurus;Elasmobranchii;Carcharhiniformes;0.037999999;175.2442;1.9;4.34;360;17.4;27.91593;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_falciformis;carcharhinus falciformis;Elasmobranchii;Carcharhiniformes;0.090999998;146.3467;1.7;4.36;4000;26.7;11.43764;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_galapagensis;carcharhinus galapagensis;Elasmobranchii;Carcharhiniformes;0.07;170.2;0;4.23;286;23.8;15.2315;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_leucas;carcharhinus leucas;Elasmobranchii;Carcharhiniformes;0.038600001;163.7556;3.1;4.31;152;27.5;27.25805;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_longimanus;carcharhinus longimanus;Elasmobranchii;Carcharhiniformes;0.09;182.3;0;4.16;230;26.8;11.98275;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;carangiform;;;;
Carcharhinus_obscurus;carcharhinus obscurus;Elasmobranchii;Carcharhiniformes;0.037999999;201.195;1.9;4.28;400;12.6;28.38466;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_limbatus;carcharhinus limbatus;Elasmobranchii;Carcharhiniformes;0.275999993;82.3298;3.8;4.37;100;27.4;3.526529;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Acanthocybium_solandri;acanthocybium solandri;Actinopterygii;Perciformes;0.340000004;78.75789;10.6;4.26;20;24.7;2.895916;nonguarders_open_water_substratum_egg_scatterers;elongated_oval;pelagic_oceanic;thunniform;;;;
Acipenser_medirostris;acipenser medirostris;Actinopterygii;Acipenseriformes;0.086999997;92.94386;1.8;3.52;80;10.6;11.30722;nonguarders_open_water_substratum_egg_scatterers;elongated;demersal;subcarangiform;;;;
Acipenser_transmontanus;acipenser transmontanus;Actinopterygii;Acipenseriformes;0.039999999;160.8693;0.9;3.25;122;9.7;26.25021;nonguarders_open_water_substratum_egg_scatterers;elongated;demersal;subcarangiform;;;;
Albatrossia_pectoralis;albatrossia pectoralis;Actinopterygii;Gadiformes;0.129999995;65.50909;1.8;4.3;3500;2.6;8.231434;nonguarders;elongated_oval;bathydemersal;subcarangiform;;;;
Elagatis_bipinnulata;elagatis bipinnulata;Actinopterygii;Perciformes;0.247999996;54.56674;5.3;4.27;150;27.5;3.71976;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_compressed;reef_associated;carangiform;;;;
Erilepis_zonifer;erilepis zonifer;Actinopterygii;Scorpaeniformes;0.0744;91.31689;1.2;4.5;680;4.1;14.02234;nonguarders;fusiform_normal_oval;bathydemersal;carangiform;;;;
Hippoglossus_stenolepis;hippoglossus stenolepis;Actinopterygii;Pleuronectiformes;0.059999999;90.83257;0.9;4.14;1200;1.6;17.91044;nonguarders;fusiform_normal;demersal;anguilliform;;;;
Icosteus_aenigmaticus;icosteus aenigmaticus;Actinopterygii;Perciformes;0.129999995;103.4217;1;4.5;1420;6.2;9.544369;nonguarders;short_and_or_deep;bathypelagic;subcarangiform;;;;
Istiompax_indica;istiompax indica;Actinopterygii;Perciformes;0.093999997;180.1415;1.6;4.5;915;25.4;11.43346;nonguarders_open_water_substratum_egg_scatterers;elongated;pelagic_oceanic;thunniform;;;;
Istiophorus_platypterus;istiophorus platypterus;Actinopterygii;Perciformes;0.144999996;115.0671;2.8;4.5;200;25.6;6.981292;nonguarders_open_water_substratum_egg_scatterers;elongated_compressed;pelagic_oceanic;thunniform;;;;
Kajikia_audax;kajikia audax;Actinopterygii;Perciformes;0.439999998;124.8821;2.4;4.5;200;25.9;2.72497;nonguarders_open_water_substratum_egg_scatterers;elongated;pelagic_oceanic;thunniform;;;;
Lampris_guttatus;lampris guttatus;Actinopterygii;Lampriformes;0.217999995;61.0578;1.4;4.22;500;12.1;5.273865;nonguarders_open_water_substratum_egg_scatterers;short_and_or_deep;bathypelagic;carangiform;;;;
Lepidocybium_flavobrunneum;lepidocybium flavobrunneum;Actinopterygii;Perciformes;0.079999998;98.8;1.2;4.34;1100;9.9;12.38747;nonguarders;fusiform_normal_oval;benthopelagic;subcarangiform;;;;
Luvarus_imperialis;luvarus imperialis;Actinopterygii;Perciformes;0.2315625;98.8;1.7;3.79;200;24.6;4.873724082;nonguarders;fusiform_normal_compressed;pelagic_oceanic;ostraciiform;;;;
Makaira_nigricans;makaira nigricans;Actinopterygii;Perciformes;0.324000001;179.6174;1.9;4.49;1000;22.4;3.819588;nonguarders_open_water_substratum_egg_scatterers;elongated;pelagic_oceanic;thunniform;;;;
Masturus_lanceolatus;masturus lanceolatus;Actinopterygii;Tetraodontiformes;0.13;156.7;0.6;3.82;670;12.1;8.082726;nonguarders;short_and_or_deep;bathypelagic;tetraodontiform;;;;
Mola_mola;mola mola;Actinopterygii;Tetraodontiformes;0.149000004;147.5977;1.1;3.28;480;10.2;7.428278;nonguarders_open_water_substratum_egg_scatterers;short_and_or_deep_oval;pelagic_oceanic;tetraodontiform;;;;
Mycteroperca_jordani;mycteroperca jordani;Actinopterygii;Perciformes;0.059999999;97.9;2;4.5;30;23;16.46942;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_oval;reef_associated;subcarangiform;;;;
Mycteroperca_xenarcha;mycteroperca xenarcha;Actinopterygii;Perciformes;0.079999998;76.7;2.4;4.5;60;24.6;11.9948;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_oval;demersal;subcarangiform;;;;
Nematistius_pectoralis;nematistius pectoralis;Actinopterygii;Perciformes;0.152838999;82.5;2.3;4.5;50;25.8;6.76974169;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal;demersal;carangiform;;;;
Oncorhynchus_tshawytscha;oncorhynchus tshawytscha;Actinopterygii;Salmoniformes;0.15;76.7;0;4.4;375;3.5;6.513891;guarders_nesters;fusiform_normal_compressed;benthopelagic;subcarangiform;;;;
Ophiodon_elongatus;ophiodon elongatus;Actinopterygii;Scorpaeniformes;0.180000007;54.09983;2;4.53;475;5.9;5.856291;guarders_nesters;elongated;demersal;subcarangiform;;;;
Regalecus_glesne;regalecus glesne;Actinopterygii;Lampriformes;0.1470175;336.4;0.9;3.2;1000;23.9;9.24539965;nonguarders_open_water_substratum_egg_scatterers;eel_like;pelagic_oceanic;thunniform;;;;
Ruvettus_pretiosus;ruvettus pretiosus;Actinopterygii;Perciformes;0.07;141.4;1.7;4.18;800;12.9;14.79008;nonguarders;elongated_compressed;benthopelagic;subcarangiform;;;;
Seriola_dumerili;seriola dumerili;Actinopterygii;Perciformes;0.25;70.19841;3.3;4.66;360;27.1;3.813471;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal;reef_associated;carangiform;;;;
Seriola_lalandi;seriola lalandi;Actinopterygii;Perciformes;0.136000007;74.26685;2.6;4.16;825;14.9;7.04226;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_compressed;benthopelagic;carangiform;;;;
Seriola_rivoliana;seriola rivoliana;Actinopterygii;Perciformes;0.109999999;81.1;2.3;4.45;245;27.3;8.788262;nonguarders_open_water_substratum_egg_scatterers;short_and_or_deep_compressed;reef_associated;carangiform;;;;
Sphyraena_barracuda;sphyraena barracuda;Actinopterygii;Perciformes;0.086999997;87.6551;4.6;4.49;100;27.2;11.22341;nonguarders_open_water_substratum_egg_scatterers;elongated_compressed;reef_associated;carangiform;;;;
Stereolepis_gigas;stereolepis gigas;Actinopterygii;Perciformes;0.05;120.4;0;4.5;46;20.9;20.41041;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal;demersal;subcarangiform;;;;
Tetrapturus_angustirostris;tetrapturus angustirostris;Actinopterygii;Perciformes;0.529999971;111.8;1.3;4.5;1830;26.2;1.917461;nonguarders_brood_hiders;elongated;pelagic_oceanic;thunniform;;;;
Thunnus_alalunga;thunnus alalunga;Actinopterygii;Perciformes;0.232999995;56.42986;2.2;4.3;600;15.1;4.492937;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_oval;pelagic_oceanic;thunniform;;;;
Thunnus_albacares;thunnus albacares;Actinopterygii;Perciformes;0.314999998;100.3787;11.64000034;4.41;250;26.7;3.499168;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_oval;pelagic_oceanic;thunniform;;;;
Thunnus_obesus;thunnus obesus;Actinopterygii;Perciformes;0.250999987;97.38316;7.8;4.42;1500;26.6;4.138682;nonguarders_open_water_substratum_egg_scatterers;fusiform_normal_oval;pelagic_oceanic;thunniform;;;;
Thunnus_orientalis;thunnus orientalis;Actinopterygii;Perciformes;0.103500001;148.6393;1.5;4.5;550;24.3;10.30408;nonguarders;fusiform_normal;pelagic_oceanic;thunniform;;;;
Xiphias_gladius;xiphias gladius;Actinopterygii;Perciformes;0.119000003;124.8821;4.7;4.53;2878;22.7;8.586591;nonguarders_open_water_substratum_egg_scatterers;elongated;pelagic_oceanic;thunniform;;;;
